year,month,fecha,passengers
1949,Jan,1949-01-01,112
1949,Feb,1949-02-01,118
1949,Mar,1949-03-01,132
1949,Apr,1949-04-01,129
1949,May,1949-05-01,121
1949,Jun,1949-06-01,135
1949,Jul,1949-07-01,148
1949,Aug,1949-08-01,148
1949,Sep,1949-09-01,136
1949,Oct,1949-10-01,119
1949,Nov,1949-11-01,104
1949,Dec,1949-12-01,118
1950,Jan,1950-01-01,115
1950,Feb,1950-02-01,126
1950,Mar,1950-03-01,141
1950,Apr,1950-04-01,135
1950,May,1950-05-01,125
1950,Jun,1950-06-01,149
1950,Jul,1950-07-01,170
1950,Aug,1950-08-01,170
1950,Sep,1950-09-01,158
1950,Oct,1950-10-01,133
1950,Nov,1950-11-01,114
1950,Dec,1950-12-01,140
1951,Jan,1951-01-01,145
1951,Feb,1951-02-01,150
1951,Mar,1951-03-01,178
1951,Apr,1951-04-01,163
1951,May,1951-05-01,172
1951,Jun,1951-06-01,178
1951,Jul,1951-07-01,199
1951,Aug,1951-08-01,199
1951,Sep,1951-09-01,184
1951,Oct,1951-10-01,162
1951,Nov,1951-11-01,146
1951,Dec,1951-12-01,166
1952,Jan,1952-01-01,171
1952,Feb,1952-02-01,180
1952,Mar,1952-03-01,193
1952,Apr,1952-04-01,181
1952,May,1952-05-01,183
1952,Jun,1952-06-01,218
1952,Jul,1952-07-01,230
1952,Aug,1952-08-01,242
1952,Sep,1952-09-01,209
1952,Oct,1952-10-01,191
1952,Nov,1952-11-01,172
1952,Dec,1952-12-01,194
1953,Jan,1953-01-01,196
1953,Feb,1953-02-01,196
1953,Mar,1953-03-01,236
1953,Apr,1953-04-01,235
1953,May,1953-05-01,229
1953,Jun,1953-06-01,243
1953,Jul,1953-07-01,264
1953,Aug,1953-08-01,272
1953,Sep,1953-09-01,237
1953,Oct,1953-10-01,211
1953,Nov,1953-11-01,180
1953,Dec,1953-12-01,201
1954,Jan,1954-01-01,204
1954,Feb,1954-02-01,188
1954,Mar,1954-03-01,235
1954,Apr,1954-04-01,227
1954,May,1954-05-01,234
1954,Jun,1954-06-01,264
1954,Jul,1954-07-01,302
1954,Aug,1954-08-01,293
1954,Sep,1954-09-01,259
1954,Oct,1954-10-01,229
1954,Nov,1954-11-01,203
1954,Dec,1954-12-01,229
1955,Jan,1955-01-01,242
1955,Feb,1955-02-01,233
1955,Mar,1955-03-01,267
1955,Apr,1955-04-01,269
1955,May,1955-05-01,270
1955,Jun,1955-06-01,315
1955,Jul,1955-07-01,364
1955,Aug,1955-08-01,347
1955,Sep,1955-09-01,312
1955,Oct,1955-10-01,274
1955,Nov,1955-11-01,237
1955,Dec,1955-12-01,278
1956,Jan,1956-01-01,284
1956,Feb,1956-02-01,277
1956,Mar,1956-03-01,317
1956,Apr,1956-04-01,313
1956,May,1956-05-01,318
1956,Jun,1956-06-01,374
1956,Jul,1956-07-01,413
1956,Aug,1956-08-01,405
1956,Sep,1956-09-01,355
1956,Oct,1956-10-01,306
1956,Nov,1956-11-01,271
1956,Dec,1956-12-01,306
1957,Jan,1957-01-01,315
1957,Feb,1957-02-01,301
1957,Mar,1957-03-01,356
1957,Apr,1957-04-01,348
1957,May,1957-05-01,355
1957,Jun,1957-06-01,422
1957,Jul,1957-07-01,465
1957,Aug,1957-08-01,467
1957,Sep,1957-09-01,404
1957,Oct,1957-10-01,347
1957,Nov,1957-11-01,305
1957,Dec,1957-12-01,336
1958,Jan,1958-01-01,340
1958,Feb,1958-02-01,318
1958,Mar,1958-03-01,362
1958,Apr,1958-04-01,348
1958,May,1958-05-01,363
1958,Jun,1958-06-01,435
1958,Jul,1958-07-01,491
1958,Aug,1958-08-01,505
1958,Sep,1958-09-01,404
1958,Oct,1958-10-01,359
1958,Nov,1958-11-01,310
1958,Dec,1958-12-01,337
1959,Jan,1959-01-01,360
1959,Feb,1959-02-01,342
1959,Mar,1959-03-01,406
1959,Apr,1959-04-01,396
1959,May,1959-05-01,420
1959,Jun,1959-06-01,472
1959,Jul,1959-07-01,548
1959,Aug,1959-08-01,559
1959,Sep,1959-09-01,463
1959,Oct,1959-10-01,407
1959,Nov,1959-11-01,362
1959,Dec,1959-12-01,405
1960,Jan,1960-01-01,417
1960,Feb,1960-02-01,391
1960,Mar,1960-03-01,419
1960,Apr,1960-04-01,461
1960,May,1960-05-01,472
1960,Jun,1960-06-01,535
1960,Jul,1960-07-01,622
1960,Aug,1960-08-01,606
1960,Sep,1960-09-01,508
1960,Oct,1960-10-01,461
1960,Nov,1960-11-01,390
1960,Dec,1960-12-01,432
