horsepower,mpg,weight,origin
56.7,36.04,1693.7,usa
86.3,26.07,2340.7,europe
151.8,24.27,2759.2,usa
216.0,19.77,3877.3,europe
117.4,26.36,2858.0,japan
191.1,19.23,3444.5,japan
68.8,35.22,2279.3,europe
197.2,21.61,3804.8,japan
216.6,21.23,3789.0,europe
138.0,22.61,2849.7,europe
129.1,24.71,2782.2,europe
213.0,17.51,3836.1,usa
87.1,28.48,1965.4,japan
215.3,20.84,3757.7,europe
214.7,18.55,3475.7,europe
222.1,17.73,3803.6,europe
209.9,20.13,3678.8,japan
142.3,24.33,2580.0,japan
171.1,18.73,3026.1,usa
143.6,20.94,2851.6,usa
100.8,28.92,2798.7,europe
228.3,19.19,3689.6,usa
49.6,38.2,1817.9,usa
91.5,31.54,2137.6,japan
216.8,18.08,3734.1,japan
221.2,13.32,4031.5,europe
96.6,25.77,2414.9,japan
230.0,14.13,4036.2,usa
195.3,22.15,3632.0,europe
188.7,20.88,3568.2,usa
150.8,22.29,2620.4,japan
117.9,19.21,2684.8,usa
46.7,36.13,1745.2,japan
112.6,25.23,2623.1,europe
114.3,20.96,2722.6,usa
60.1,37.7,1995.7,europe
60.6,34.93,2051.9,europe
93.7,27.84,2113.8,japan
136.5,23.01,2918.1,japan
188.2,17.27,3438.9,europe
153.9,19.15,3031.7,japan
145.1,17.69,3175.0,usa
192.4,19.49,3420.5,usa
201.9,19.99,3502.6,japan
126.4,23.52,2480.0,japan
157.3,20.81,3034.7,usa
215.4,16.03,3978.0,japan
59.8,36.06,1617.0,japan
157.6,15.37,3137.0,japan
188.7,16.86,3008.0,usa
124.1,22.7,2564.4,japan
183.7,18.62,3483.6,japan
200.4,19.59,3507.9,japan
186.4,19.26,3220.5,japan
144.3,22.89,2865.4,europe
179.0,23.26,3526.1,japan
176.2,23.74,3583.3,europe
115.9,26.85,2863.3,europe
48.9,42.1,1910.0,japan
220.7,22.49,3913.3,usa
131.5,24.54,2955.7,usa
100.2,23.73,2194.5,usa
91.3,31.09,2121.7,japan
118.9,22.41,2859.4,usa
151.9,26.57,3177.0,usa
140.8,27.1,3046.9,usa
115.7,23.96,2628.4,japan
59.4,32.8,1764.1,usa
226.4,16.22,3722.9,japan
