total_bill,size,tip,day,sector
20.74,6,5.53,Jueves,Comedor
48.39,4,6.0,Jueves,Eventos
38.04,2,4.08,Sábado,Eventos
32.23,3,3.67,Viernes,Comedor
31.3,1,3.62,Domingo,Eventos
57.43,2,6.24,Jueves,Comedor
64.31,3,9.54,Domingo,Cafetería
20.64,5,7.04,Viernes,Eventos
49.17,2,7.61,Domingo,Eventos
27.9,3,7.18,Domingo,Eventos
68.02,1,5.33,Sábado,Cafetería
65.19,1,7.37,Sábado,Eventos
48.15,4,7.77,Jueves,Cafetería
55.16,6,9.08,Domingo,Eventos
40.91,4,8.82,Sábado,Cafetería
59.55,1,9.16,Jueves,Eventos
36.9,4,7.13,Sábado,Comedor
30.33,1,4.56,Jueves,Eventos
26.67,5,4.34,Sábado,Eventos
23.58,3,2.99,Sábado,Comedor
41.55,3,6.61,Domingo,Comedor
35.85,2,4.68,Viernes,Comedor
49.79,2,4.29,Viernes,Comedor
10.77,3,3.16,Viernes,Cafetería
36.86,3,5.83,Jueves,Comedor
31.91,4,6.68,Domingo,Cafetería
21.72,5,5.16,Domingo,Cafetería
45.69,6,7.43,Sábado,Comedor
36.12,1,4.25,Jueves,Comedor
28.0,6,6.55,Jueves,Cafetería
22.56,4,3.41,Domingo,Eventos
62.48,1,7.35,Jueves,Cafetería
57.85,6,11.36,Jueves,Comedor
46.4,6,8.79,Domingo,Eventos
30.71,2,2.62,Viernes,Cafetería
66.81,2,7.36,Sábado,Eventos
43.8,2,3.29,Sábado,Comedor
35.97,5,4.23,Domingo,Cafetería
64.03,6,10.01,Sábado,Eventos
29.16,2,4.33,Domingo,Cafetería
51.76,3,5.77,Sábado,Cafetería
28.83,5,3.35,Viernes,Comedor
25.69,2,2.43,Viernes,Cafetería
52.05,5,7.91,Domingo,Comedor
23.67,2,3.83,Viernes,Cafetería
39.59,6,8.09,Sábado,Comedor
44.8,1,6.76,Sábado,Eventos
21.33,6,5.4,Domingo,Cafetería
53.87,5,8.42,Jueves,Comedor
42.91,2,5.17,Viernes,Eventos
47.29,5,6.74,Sábado,Cafetería
32.33,4,5.29,Viernes,Cafetería
35.21,3,6.42,Jueves,Comedor
39.69,5,5.49,Domingo,Comedor
38.2,5,7.98,Domingo,Cafetería
50.54,1,7.17,Viernes,Comedor
44.63,2,5.51,Jueves,Eventos
34.98,4,6.1,Domingo,Comedor
10.11,3,1.56,Sábado,Cafetería
57.64,2,9.34,Domingo,Eventos
41.16,4,7.47,Sábado,Cafetería
29.59,1,3.92,Viernes,Cafetería
40.0,6,7.37,Jueves,Eventos
15.61,4,4.79,Sábado,Cafetería
64.28,1,5.71,Sábado,Eventos
69.38,3,8.34,Jueves,Cafetería
13.52,5,3.52,Sábado,Cafetería
31.49,4,6.12,Sábado,Eventos
53.8,4,6.49,Sábado,Comedor
28.85,4,6.38,Viernes,Comedor
44.02,1,4.73,Domingo,Cafetería
34.99,3,5.57,Viernes,Eventos
56.45,3,10.52,Domingo,Comedor
67.51,6,10.47,Domingo,Cafetería
63.3,4,8.39,Domingo,Eventos
47.26,2,5.73,Viernes,Comedor
19.62,6,4.42,Domingo,Cafetería
66.82,2,8.55,Viernes,Eventos
11.42,6,6.94,Sábado,Comedor
27.86,3,4.76,Jueves,Comedor
26.9,6,8.26,Sábado,Eventos
50.31,5,7.44,Jueves,Comedor
39.24,5,4.56,Domingo,Cafetería
15.57,4,3.46,Jueves,Eventos
10.77,1,1.0,Sábado,Cafetería
46.26,2,5.27,Domingo,Comedor
39.49,6,8.01,Jueves,Comedor
46.08,5,6.12,Sábado,Eventos
43.84,3,5.86,Sábado,Cafetería
63.43,5,8.86,Domingo,Cafetería
65.1,4,7.33,Sábado,Comedor
21.3,5,4.16,Domingo,Comedor
66.53,4,8.43,Domingo,Cafetería
57.26,1,6.98,Sábado,Comedor
48.34,3,5.59,Sábado,Cafetería
49.58,2,4.96,Jueves,Eventos
42.76,6,7.35,Jueves,Eventos
65.04,6,9.65,Domingo,Cafetería
24.0,2,3.17,Viernes,Comedor
45.96,6,7.38,Domingo,Eventos
58.85,2,6.33,Viernes,Comedor
18.09,2,2.04,Jueves,Eventos
46.93,2,5.44,Viernes,Eventos
34.17,4,5.06,Sábado,Eventos
55.96,2,8.28,Jueves,Comedor
14.06,2,2.4,Sábado,Comedor
46.41,5,7.81,Domingo,Cafetería
61.42,3,7.82,Sábado,Comedor
47.7,5,6.02,Sábado,Eventos
29.28,1,2.19,Domingo,Eventos
49.35,1,4.76,Viernes,Comedor
30.29,2,5.12,Sábado,Cafetería
50.12,3,5.77,Domingo,Eventos
