survived,age,fare,pclass
1,19.3,5.1,1
0,23.9,35.05,3
0,16.0,9.84,2
0,42.6,16.33,1
0,26.8,81.81,2
0,37.0,49.2,3
0,40.5,12.77,1
1,31.1,20.55,2
0,33.6,42.89,1
0,35.2,23.42,3
0,39.1,22.41,2
0,51.8,12.46,3
1,18.1,36.55,2
1,34.5,39.86,2
1,16.7,15.4,1
0,53.3,6.94,2
0,8.0,83.43,3
0,35.6,16.42,3
0,27.5,33.93,3
0,25.3,14.88,3
0,43.1,15.99,1
0,40.6,48.21,3
0,20.1,21.13,3
0,39.7,42.79,3
0,37.2,43.47,3
0,23.0,18.62,1
1,13.1,31.44,1
0,44.2,42.95,3
0,42.8,58.2,2
0,40.4,21.9,3
1,26.0,26.22,2
1,49.9,14.18,2
1,78.0,43.3,3
1,35.4,27.87,2
1,40.5,11.01,1
0,21.9,20.84,2
0,22.0,24.27,1
0,57.4,17.86,3
0,64.5,16.42,3
0,29.7,9.08,1
1,24.0,27.92,2
0,20.3,19.92,3
0,24.6,47.49,1
1,33.8,24.54,1
1,15.7,45.18,1
0,23.2,12.12,3
0,46.1,33.55,2
1,30.6,42.09,1
1,22.1,42.54,1
1,16.6,22.02,1
0,47.7,14.84,3
1,18.3,77.68,1
0,30.9,23.28,3
0,46.7,12.21,3
0,40.3,23.08,3
0,36.9,32.77,1
0,37.0,16.72,1
1,19.7,34.63,2
0,22.8,47.48,2
0,26.4,25.85,1
0,1.0,51.22,1
1,27.0,24.7,3
0,31.4,19.67,3
1,31.7,74.35,3
0,31.1,40.13,2
0,35.7,28.66,1
0,36.6,8.34,3
0,55.6,10.93,2
0,35.0,9.08,2
0,44.7,25.98,3
0,24.6,26.19,3
0,37.4,34.89,3
0,37.0,52.14,3
0,29.8,9.94,3
0,9.1,11.17,2
1,14.2,14.75,3
1,39.2,35.86,3
1,32.3,32.17,1
0,29.6,13.62,3
0,23.6,16.93,3
1,34.3,34.11,2
0,41.0,27.87,2
0,59.0,51.47,2
1,32.9,15.76,2
1,30.7,24.39,2
0,37.0,14.03,1
0,49.4,56.12,3
0,65.4,51.77,3
0,41.1,36.54,3
1,13.2,50.13,3
0,33.6,65.15,2
0,17.5,68.57,3
1,19.9,80.34,1
0,58.6,16.88,3
0,28.5,16.04,2
0,23.4,61.83,2
0,52.6,20.48,3
0,34.5,8.6,2
0,17.6,20.11,2
0,34.3,52.28,2
1,14.0,19.99,1
0,21.5,44.32,3
0,36.2,32.95,3
1,1.0,11.32,2
1,43.6,36.25,2
0,37.1,27.24,1
0,45.3,18.97,2
0,28.2,10.71,3
1,39.5,76.39,2
1,19.9,14.99,1
1,20.8,7.22,1
0,35.1,46.48,2
1,34.1,20.26,2
0,33.6,58.38,2
0,52.6,25.29,3
1,29.9,26.8,2
1,40.0,39.59,2
0,38.5,29.19,2
1,35.9,29.11,3
0,39.5,54.62,1
1,9.5,15.06,3
0,26.0,38.83,3
1,49.2,32.62,2
0,29.6,9.56,1
0,43.5,55.61,3
0,40.3,44.61,3
1,1.0,73.49,3
1,15.4,20.42,1
0,24.4,13.28,3
1,24.2,198.78,2
0,27.5,14.01,1
0,27.7,16.2,3
0,22.3,38.85,2
0,24.4,20.47,3
0,6.4,35.42,2
0,60.8,11.46,2
0,53.1,9.0,2
0,45.9,19.0,2
0,32.5,41.99,2
1,20.9,26.54,1
0,67.8,58.92,3
0,20.5,22.86,3
0,53.7,30.64,3
1,38.0,15.04,2
0,20.9,10.5,2
0,22.2,12.33,3
1,27.7,16.18,3
0,24.9,97.04,3
0,13.8,11.76,1
0,39.6,15.29,3
1,20.8,65.98,2
1,44.3,17.59,1
0,31.1,39.73,2
0,35.6,6.17,3
0,35.2,14.42,2
0,28.2,37.78,3
0,32.2,8.99,2
1,36.0,30.43,1
0,65.9,27.7,3
1,15.6,18.79,2
1,23.7,22.65,1
0,28.1,42.78,3
0,15.9,26.16,3
1,14.8,51.25,1
0,11.7,44.91,1
1,32.5,73.47,3
0,25.8,20.54,3
0,35.6,30.18,1
1,13.3,13.63,3
0,20.8,40.42,2
0,46.0,17.03,3
0,43.7,40.34,3
1,11.4,22.56,1
0,44.7,24.19,2
0,25.5,31.37,3
1,17.6,16.69,3
0,43.3,17.5,3
0,45.7,18.03,3
1,1.0,19.0,3
1,45.1,40.4,1
0,26.0,20.95,3
1,25.6,18.56,3
0,27.7,45.88,2
0,47.8,42.14,3
0,50.4,24.29,2
1,37.4,133.0,1
1,43.5,13.62,2
1,62.3,76.28,1
0,32.2,31.77,3
0,18.3,51.56,3
1,39.8,22.08,1
0,42.3,57.28,3
1,30.3,14.15,1
1,29.8,45.04,1
0,62.5,31.76,2
0,28.9,48.18,2
0,20.0,19.6,3
0,1.0,35.31,3
1,44.0,16.14,1
1,50.4,21.27,1
1,16.2,22.86,3
1,40.7,18.12,2
0,27.9,19.53,3
0,33.6,12.14,1
1,24.4,24.76,3
0,32.5,68.84,2
1,44.8,169.72,1
0,25.6,15.6,2
0,23.3,16.44,3
0,18.7,33.42,3
0,48.5,37.21,2
0,21.1,11.63,2
1,41.5,6.03,2
0,15.4,31.85,2
0,3.0,64.07,3
1,24.9,67.74,3
0,36.1,26.79,2
1,47.9,66.46,1
1,43.9,24.14,1
0,37.3,10.88,3
